exp_id,ano,mes
486,2020,08
1481,2020,08
1663,2020,08
2226,2020,08
915,2020,08
1444,2020,08
2162,2020,08
1140,2020,08
1338,2020,08
380,2020,08
2355,2020,08
1379,2020,08
660,2020,08
1321,2020,08
2135,2020,08
101,2020,08
697,2020,08
1311,2020,08
2315,2020,08
1294,2020,08
856,2020,08
551,2020,08
766,2020,08
2073,2020,08
745,2020,08
1680,2020,08
1538,2020,08
1153,2020,08
941,2020,08
1895,2020,08
33,2020,08
446,2020,08
2225,2020,08
519,2020,08
428,2020,08
1548,2020,08
265,2020,08
789,2020,08
1787,2020,08
397,2020,08
1805,2020,08
1082,2020,08
2317,2020,08
1620,2020,08
2304,2020,08
2335,2020,08
149,2020,08
589,2020,08
403,2020,08
353,2020,08
144,2020,08
875,2020,08
251,2020,08
1863,2020,08
996,2020,08
659,2020,08
82,2020,08
1913,2020,08
1899,2020,08
583,2020,08
1310,2020,08
1102,2020,08
172,2020,08
1422,2020,08
1870,2020,08
171,2020,08
691,2020,08
1225,2020,08
1560,2020,08
1757,2020,08
35,2020,08
1302,2020,08
2284,2020,08
74,2020,08
1056,2020,08
54,2020,08
2081,2020,08
1582,2020,08
2025,2020,08
2134,2020,08
1976,2020,08
1537,2020,08
362,2020,08
760,2020,08
622,2020,08
1296,2020,08
540,2020,08
1492,2020,08
2028,2020,08
480,2020,08
529,2020,08
823,2020,08
786,2020,08
1919,2020,08
1553,2020,08
2045,2020,08
24,2020,08
2371,2020,08
1480,2020,08
1893,2020,08
1180,2020,08
1574,2020,08
849,2020,08
2178,2020,08
1710,2020,08
2247,2020,08
2104,2020,08
799,2020,08
1843,2020,08
166,2020,08
561,2020,08
791,2020,08
725,2020,08
599,2020,08
982,2020,08
1144,2020,08
391,2020,08
642,2020,08
1285,2020,08
1318,2020,08
1549,2020,08
1104,2020,08
858,2020,08
1410,2020,08
462,2020,08
2286,2020,08
137,2020,08
1571,2020,08
1004,2020,08
448,2020,08
2248,2020,08
2138,2020,08
2127,2020,08
1646,2020,08
898,2020,08
230,2020,08
261,2020,08
1136,2020,08
292,2020,08
2312,2020,08
235,2020,08
2082,2020,08
2376,2020,08
1568,2020,08
715,2020,08
125,2020,08
494,2020,08
1207,2020,08
513,2020,08
1629,2020,08
1561,2020,08
385,2020,08
2380,2020,08
2256,2020,08
1505,2020,08
2379,2020,08
1930,2020,08
1428,2020,08
1266,2020,08
7,2020,08
1671,2020,08
5,2020,08
508,2020,08
342,2020,08
131,2020,08
924,2020,08
1066,2020,08
1940,2020,08
2220,2020,08
1793,2020,08
30,2020,08
259,2020,08
157,2020,08
308,2020,08
1402,2020,08
2336,2020,08
1024,2020,08
99,2020,08
727,2020,08
2189,2020,08
305,2020,08
2334,2020,08
959,2020,08
1039,2020,08
212,2020,08
2050,2020,08
899,2020,08
2041,2020,08
729,2020,08
1457,2020,08
1272,2020,08
852,2020,08
126,2020,08
147,2020,08
1655,2020,08
275,2020,08
712,2020,08
2299,2020,08
169,2020,08
1159,2020,08
820,2020,08
538,2020,08
435,2020,08
1118,2020,08
821,2020,08
1330,2020,08
528,2020,08
1674,2020,08
323,2020,08
320,2020,08
761,2020,08
1820,2020,08
606,2020,08
973,2020,08
2061,2020,08
911,2020,08
206,2020,08
917,2020,08
2176,2020,08
985,2020,08
804,2020,08
43,2020,08
2074,2020,08
1819,2020,08
1975,2020,08
739,2020,08
1348,2020,08
722,2020,08
1995,2020,08
69,2020,08
1408,2020,08
1685,2020,08
580,2020,08
1386,2020,08
1636,2020,08
1010,2020,08
872,2020,08
1721,2020,08
780,2020,08
1673,2020,08
1933,2020,08
1644,2020,08
1414,2020,08
759,2020,08
1052,2020,08
1806,2020,08
813,2020,08
1701,2020,08
1666,2020,08
424,2020,08
2310,2020,08
2154,2020,08
2001,2020,08
173,2020,08
887,2020,08
2417,2020,08
102,2020,08
1092,2020,08
1999,2020,08
1068,2020,08
1638,2020,08
135,2020,08
2124,2020,08
59,2020,08
844,2020,08
1254,2020,08
2111,2020,08
676,2020,08
2395,2020,08
2352,2020,08
2283,2020,08
2011,2020,08
816,2020,08
1795,2020,08
488,2020,08
1000,2020,08
1781,2020,08
2237,2020,08
1534,2020,08
546,2020,08
1665,2020,08
300,2020,08
2415,2020,08
769,2020,08
1491,2020,08
1623,2020,08
2285,2020,08
574,2020,08
902,2020,08
1634,2020,08
1839,2020,08
378,2020,08
664,2020,08
955,2020,08
461,2020,08
384,2020,08
93,2020,08
141,2020,08
2207,2020,08
2191,2020,08
521,2020,08
2188,2020,08
1278,2020,08
1637,2020,08
675,2020,08
160,2020,08
396,2020,08
2036,2020,08
1523,2020,08
2397,2020,08
1796,2020,08
909,2020,08
2419,2020,08
2019,2020,08
2186,2020,08
2398,2020,08
357,2020,08
1597,2020,08
1945,2020,08
1576,2020,08
1243,2020,08
2066,2020,08
2183,2020,08
1828,2020,08
373,2020,08
989,2020,08
1217,2020,08
523,2020,08
68,2020,08
1075,2020,08
584,2020,08
1008,2020,08
1707,2020,08
1418,2020,08
456,2020,08
997,2020,08
1871,2020,08
2203,2020,08
124,2020,08
965,2020,08
